speed_kmh,trip_id,service_id,arrival_time,Datetime
74,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:00:00,11/20/2023 0:00
47.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:03:00,11/20/2023 0:03
45.5,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:04:00,11/20/2023 0:04
57.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:05:00,11/20/2023 0:05
13.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:07:00,11/20/2023 0:07
18.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:08:00,11/20/2023 0:08
44.1,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:10:00,11/20/2023 0:10
47.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:11:00,11/20/2023 0:11
54,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:12:00,11/20/2023 0:12
33.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:13:00,11/20/2023 0:13
4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:15:00,11/20/2023 0:15
19,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:17:00,11/20/2023 0:17
41.7,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:18:00,11/20/2023 0:18
24.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:19:00,11/20/2023 0:19
44.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:20:00,11/20/2023 0:20
44.9,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:22:00,11/20/2023 0:22
27.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:23:00,11/20/2023 0:23
37.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:24:00,11/20/2023 0:24
23.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:25:00,11/20/2023 0:25
74,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:26:00,11/20/2023 0:26
47.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:28:00,11/20/2023 0:28
45.5,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:31:00,11/20/2023 0:31
57.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:32:00,11/20/2023 0:32
